"code","iso","country","VOE.ind.1995","VOE.ind.1996","VOE.ind.1997","VOE.ind.1998","VOE.ind.1999","VOE.ind.2000","VOE.ind.2001","VOE.ind.2002","VOE.ind.2003","VOE.ind.2004","VOE.ind.2005","VOE.ind.2006","VOE.ind.2007","VOE.ind.2008","VOE.ind.2009","VOE.ind.2010","VOE.ind.2011","VOE.ind.2012","VOE.ind.2013","VOE.ind.2014","VOE.ind.2015","VOE.ind.2016","VOE.ind.2017","VOE.ind.2018","VOE.ind.2019","VOE.ind.2020","VOE.ind.2021","VOE.ind.2022"
276,"DEU","Germany",53.4051356030228,53.4051356030228,53.4051356030228,53.4051356030228,53.4051356030228,53.4051356030228,53.4051356030228,53.4051356030228,53.4051356030228,58.3528083947921,56.4758942238013,60.6239450342897,62.7821241113012,58.2115390135777,55.8620687436352,57.6678944108895,58.4843679190241,59.2896350912051,60.0135926003297,59.678386013321,58.3667116466337,59.2521279265587,60.4611051184072,59.7648164779525,59.5539155145202,59.5539155145202,59.5539155145202,59.5539155145202
288,"GHA","Ghana",24.0169321389917,24.0169321389917,24.0169321389917,24.0169321389917,24.0169321389917,24.0169321389917,24.0169321389917,24.0169321389917,24.0169321389917,23.3722918473194,24.0220820319893,25.1194154147847,24.9367506641936,23.3585939310267,27.1280062207928,23.47866896759,22.6675553342665,23.2263237237098,21.7544519077258,22.1045051869893,17.8730596701204,10.7515765261455,12.9348004359836,17.4179912450723,18.8934169450811,18.8934169450811,18.8934169450811,18.8934169450811
300,"GRC","Greece",44.9217762989665,44.9217762989665,44.9217762989665,44.9217762989665,44.9217762989665,44.9217762989665,44.9217762989665,44.9217762989665,44.9217762989665,48.7709428532993,47.3792984250852,47.7016130618316,44.8986390426278,48.0529185908689,49.5490933714271,43.6318640952602,44.5063477937303,40.4575459767589,46.3837071091789,48.484779321691,45.9217230323239,45.6381375196932,43.8986577850522,46.6920524797047,45.6341021559247,45.6341021559247,45.6341021559247,45.6341021559247
304,"GRL","Greenland",91.8815831732028,91.8815831732028,91.8815831732028,91.8815831732028,91.8815831732028,91.8815831732028,91.8815831732028,91.8815831732028,91.8815831732028,96.3198564667363,96.958548145383,97.0949692218463,97.7923052723198,95.5815859004012,98.8493148029777,96.454485029971,98.8964996683437,95.0844069844013,98.1524855939731,96.1967415698605,98.2271379448411,99.1436334546806,100,98.4992870758254,99.7504340612793,99.7504340612793,99.7504340612793,99.7504340612793
308,"GRD","Grenada",91.7699901386935,91.7699901386935,91.7699901386935,91.7699901386935,91.7699901386935,91.7699901386935,91.7699901386935,91.7699901386935,91.7699901386935,91.446987034881,88.164786631618,90.850621965858,91.2463214254816,91.2882380925979,92.6812346486098,87.6336102918662,90.1219828017284,90.3538305743053,91.2596541719565,92.8733747331857,91.6301649923068,89.3521688367569,92.9020373458169,94.4981985731373,91.5594306118794,91.5594306118794,91.5594306118794,91.5594306118794
320,"GTM","Guatemala",5.4910120367974,5.4910120367974,5.4910120367974,5.4910120367974,5.4910120367974,5.4910120367974,5.4910120367974,5.4910120367974,5.4910120367974,6.44122816880211,5.05613723339252,6.5641454491653,5.26100174258646,9.49014218009553,4.86468924139045,4.05972394799645,1.78136740924384,2.40472866157023,2.70081915360896,3.7225565688791,2.05139300048917,0,0,1.54588830172521,1.08523989614466,1.08523989614466,1.08523989614466,1.08523989614466
831,"GGY","Guernsey",75.8816926283016,75.8816926283016,75.8816926283016,75.8816926283016,75.8816926283016,75.8816926283016,75.8816926283016,75.8816926283016,75.8816926283016,80.3383280204306,79.5085551846343,78.6150261655281,81.0905105502816,82.2300135598982,82.1154251678934,80.8239784198391,81.070641460288,83.4865230492701,83.7402195256467,80.2776626913866,83.8044985812167,82.8729026500153,86.5134707779583,82.5316542779389,85.3323207529875,85.3323207529875,85.3323207529875,85.3323207529875
324,"GIN","Guinea",10.030992013009,10.030992013009,10.030992013009,10.030992013009,10.030992013009,10.030992013009,10.030992013009,10.030992013009,10.030992013009,8.56574469542512,9.86947024870733,8.6048449750122,8.63160233314295,10.8973550849285,9.58535745378548,6.92887574525258,6.19989535082465,7.72060018171378,5.21760024811248,5.0589506983581,5.16639633989658,2.57242183079504,1.94721406580759,5.01524780816034,4.85141795392926,4.85141795392926,4.85141795392926,4.85141795392926
624,"GNB","Guinea-Bissau",19.9408855903418,19.9408855903418,19.9408855903418,19.9408855903418,19.9408855903418,19.9408855903418,19.9408855903418,19.9408855903418,19.9408855903418,18.5021537740161,20.4994156332229,21.424800312178,19.5837291410861,19.5135721195002,16.9716113102281,13.6977196961814,14.7098307536537,16.2844973356592,14.3065239105585,17.3813310808504,16.8471979067658,14.6641365177621,14.5129272636618,13.4868359251711,14.239976959041,14.239976959041,14.239976959041,14.239976959041
328,"GUY","Guyana",28.5696366761319,28.5696366761319,28.5696366761319,28.5696366761319,28.5696366761319,28.5696366761319,28.5696366761319,28.5696366761319,28.5696366761319,28.7668439666285,25.7844009310353,26.8891586965507,26.3422277073365,25.1966579507167,26.6179613709974,20.4616740398118,22.4275980682114,22.9779225899437,23.0405627767704,24.7824278865703,23.2451471013584,19.4612296169616,19.6141779188914,22.580362960133,21.1737632806295,21.1737632806295,21.1737632806295,21.1737632806295
332,"HTI","Haiti",34.5846456333984,34.5846456333984,34.5846456333984,34.5846456333984,34.5846456333984,34.5846456333984,34.5846456333984,34.5846456333984,34.5846456333984,36.6258062096898,35.116920359869,34.1995144602209,34.3923845686695,37.3965428958089,33.7444366569179,33.4901037673903,32.4689971400643,30.6466766514237,32.0255951785096,33.5631249061787,30.579642134912,29.0562506006534,31.7358598678134,34.149607643422,32.3715650125173,32.3715650125173,32.3715650125173,32.3715650125173
336,"VAT","Holy See",72.6202295963833,72.6202295963833,72.6202295963833,72.6202295963833,72.6202295963833,72.6202295963833,72.6202295963833,72.6202295963833,72.6202295963833,86.9512843861501,84.0172528070216,82.8779832755606,82.09780773365,81.8369531584406,87.4784494338205,76.9171038998345,76.8061309064184,76.9081479462367,74.2392827479971,67.2485797600463,81.543405296055,87.3102889212547,78.9491168223521,80.7587901579422,77.8021550373491,77.8021550373491,77.8021550373491,77.8021550373491
340,"HND","Honduras",4.51300058237054,4.51300058237054,4.51300058237054,4.51300058237054,4.51300058237054,4.51300058237054,4.51300058237054,4.51300058237054,4.51300058237054,5.12989976544849,3.50849047570873,4.50972771199378,3.21476881063708,5.72724845574032,2.54755685916045,3.23197334140006,0.488073371501514,0.653221152133867,0,0,0,0,0,0,0,0,0,0
344,"HKG","Hong Kong",33.328812841419,33.328812841419,33.328812841419,33.328812841419,33.328812841419,33.328812841419,33.328812841419,33.328812841419,33.328812841419,30.0781796867932,36.7750950236281,33.0657258431643,33.0552127294732,34.1874605895515,32.0988478995911,35.4159778198817,32.9795381476262,35.1158611108807,34.9835952893442,33.9263115933887,33.6324047869937,34.7852164854393,35.4765007762876,35.0722799626049,35.1122741896839,35.1122741896839,35.1122741896839,35.1122741896839
348,"HUN","Hungary",42.4308602664075,42.4308602664075,42.4308602664075,42.4308602664075,42.4308602664075,42.4308602664075,42.4308602664075,42.4308602664075,42.4308602664075,51.1164245457503,49.9352328404266,53.2803740943081,51.3710095543787,48.1267054642161,47.1444159069195,52.1254649410195,47.3414190207087,45.032224151975,48.8052205324466,51.6318777071867,47.8857355883667,47.8934908394771,46.4509090752256,48.4697914587059,48.8355369812909,48.8355369812909,48.8355369812909,48.8355369812909
352,"ISL","Iceland",86.665397551795,86.665397551795,86.665397551795,86.665397551795,86.665397551795,86.665397551795,86.665397551795,86.665397551795,86.665397551795,91.4171510966704,93.3081756637092,92.2176633116065,92.4715786331308,91.030835903739,92.2762077402378,91.0755925017945,93.7651073043887,90.7563918053302,95.2453858240532,92.6052440222191,95.260442792035,92.6019078804033,96.8458580511692,95.7817228508921,95.6225142546662,95.6225142546662,95.6225142546662,95.6225142546662
356,"IND","India",21.9745638612757,21.9745638612757,21.9745638612757,21.9745638612757,21.9745638612757,21.9745638612757,21.9745638612757,21.9745638612757,21.9745638612757,21.4430491273298,22.2581984038847,20.8848765600839,20.3456860072516,21.2969004559238,21.4647480600395,18.6083460454738,18.9089547158292,18.7043792414459,20.4113424021618,16.8410379283035,16.7890771088603,18.8166576512261,19.0405655247894,18.2523388289263,19.4483008510645,19.4483008510645,19.4483008510645,19.4483008510645
360,"IDN","Indonesia",12.8694857730007,12.8694857730007,12.8694857730007,12.8694857730007,12.8694857730007,12.8694857730007,12.8694857730007,12.8694857730007,12.8694857730007,11.7108757601567,11.192194915714,11.6291222793307,12.8958752434491,13.4803744019177,10.6751571075006,9.55483350396645,9.99009350820906,8.67298673619841,8.24833576055923,7.63533019467026,6.39672152553172,8.77316616067151,13.0874072774081,12.1251302466335,12.1935903001838,12.1935903001838,12.1935903001838,12.1935903001838
364,"IRN","Iran",28.9327149204336,28.9327149204336,28.9327149204336,28.9327149204336,28.9327149204336,28.9327149204336,28.9327149204336,28.9327149204336,28.9327149204336,25.7042773208609,26.2896162051065,23.9556293704378,23.1352967248793,24.4309137036146,26.2071114024017,20.4772184682868,22.8629445060153,23.0850290079557,24.1038702401031,22.7212957884211,22.8608313248313,24.6340481144197,21.9022275945955,22.9392165019508,21.9770949545614,21.9770949545614,21.9770949545614,21.9770949545614
368,"IRQ","Iraq",26.4182006906202,26.4182006906202,26.4182006906202,26.4182006906202,26.4182006906202,26.4182006906202,26.4182006906202,26.4182006906202,26.4182006906202,23.335562163741,25.0654345112991,20.9104271848725,19.1237851406227,22.5036415561161,27.1040362534437,16.554349618957,21.9555300049648,21.0279443243374,22.6491961368177,20.3183293925553,21.1294679222788,24.6392833751934,23.4235083235846,23.8911824614382,22.888543288683,22.888543288683,22.888543288683,22.888543288683
372,"IRL","Ireland",78.9012421276733,78.9012421276733,78.9012421276733,78.9012421276733,78.9012421276733,78.9012421276733,78.9012421276733,78.9012421276733,78.9012421276733,81.8166470770057,81.4692534036174,80.1210890853014,81.1273912451712,83.3808893518475,82.4156444560456,81.0583598271249,83.8231104686111,84.763551875609,81.1024000310261,80.9649468752922,84.9311048507744,83.6782099325407,86.2330201065341,83.0848320055775,84.6581210116317,84.6581210116317,84.6581210116317,84.6581210116317
